id,name,slot,rarity,kit,fits,needs,percent,flat,blurb
"bs_heavy_1","Heavy Battery","Weapon","Common","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_damage or main_interval or main_turn","main_damage +80%; main_interval -35%; main_turn -30%","","huge shells, slow to reload and to train"
"bs_long_1","Long Battery","Weapon","Common","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_range or main_damage","main_damage -15%; main_range +40%","","reaches much further, a little lighter"
"bs_main_battery","Mk I Main Battery","Weapon","Common","kit","BATTLESHIP","broadside_mult","","","the four main turrets"
"bs_rapid_1","Rapid Battery","Weapon","Common","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_interval or main_damage","main_damage -30%; main_interval +60%","","fires far faster, hits lighter"
"bs_track_1","Tracking Battery","Weapon","Common","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_turn or main_damage or main_range","main_damage +10%; main_range -15%; main_turn +100%","","turrets that swing fast; shorter reach"
"cv_elite_1","Elite Hangars","Weapon","Common","","CARRIER","fighter_speed or fighter_damage or fighter_turn or fighter_count","fighter_damage +100%; fighter_speed +100%; fighter_turn +25%","fighter_count -1","two fighters, very fast and very deadly"
"cv_fighter_hangars","Mk I Fighter Hangars","Weapon","Common","kit","CARRIER","fighter_count","","","the fighter wing"
"cv_leash_1","Leash Hangars","Weapon","Common","","CARRIER","control_range or fighter_range or fighter_damage","control_range +40%; fighter_damage -10%; fighter_range +20%","","fighters that fight far from the carrier"
"cv_line_1","Line Hangars","Weapon","Common","","CARRIER","fighter_damage or fighter_speed or fighter_count","fighter_damage +20%; fighter_speed +10%","fighter_count +1","one more fighter, a little better all round"
"cv_swarm_1","Swarm Hangars","Weapon","Common","","CARRIER","fighter_speed or fighter_damage or fighter_count","fighter_damage -22%; fighter_speed -22%","fighter_count +3","a swarm of slower, weaker fighters"
"dd_heavy_1","Heavy Twins","Weapon","Common","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_damage or main_interval or main_turn","main_damage +80%; main_interval -35%; main_turn -30%","","huge shells, slow to reload and to train"
"dd_long_1","Long Twins","Weapon","Common","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_range or main_damage","main_damage -15%; main_range +40%","","reaches much further, a little lighter"
"dd_main_battery","Mk I Twin Turrets","Weapon","Common","kit","DESTROYER","missile_mag","","","the two main turrets"
"dd_rapid_1","Rapid Twins","Weapon","Common","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_interval or main_damage","main_damage -30%; main_interval +60%","","fires far faster, hits lighter"
"dd_track_1","Tracking Twins","Weapon","Common","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_turn or main_damage or main_range","main_damage +10%; main_range -15%; main_turn +100%","","turrets that swing fast; shorter reach"
"freight_main_gun","Mk I Cargo Gun","Weapon","Common","kit","FREIGHTER / TENDER / BASTION","bubble_pool or overdrive_mult or wave_range","","","the freighter's single main turret"
"heavy_main_gun","Mk I Light Cannon","Weapon","Common","kit","SNIPER / WARDEN","rail_damage or hunter_count","","","the single light turret"
"light_main_gun","Mk I Dart Cannon","Weapon","Common","kit","DART / ECHO / WRAITH","roll_time or echo_time or stealth_time","","","the light's single turret"
"warrior_main_guns","Mk I Twin Cannons","Weapon","Common","kit","WARRIOR","rush_mult","","","the two light turrets"
"bs_heavy_2","Heavy Battery II","Weapon","Rare","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_damage or main_interval or main_turn","main_damage +120%; main_interval -35%; main_turn -30%","","huge shells, slow to reload and to train"
"bs_long_2","Long Battery II","Weapon","Rare","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_range or main_damage","main_damage -15%; main_range +60%","","reaches much further, a little lighter"
"bs_rapid_2","Rapid Battery II","Weapon","Rare","","BATTLESHIP / DESTROYER / FREIGHTER / TENDER / BASTION / SNIPER / WARRIOR / WARDEN / DART / ECHO / WRAITH","main_interval or main_damage","main_damage -30%; main_interval +90%","","fires far faster, hits lighter"
