"class","abilities","targets","sustained_dps","weapons","hull","cooldown_share","thrust","reverse_thrust","max_speed","reverse_speed","turn_radius","turn_rate","water_drag","keel","main_count","main_damage","main_interval","main_range","main_turn","shell_speed","broadside_volleys","broadside_mult","broadside_windup","broadside_gap","broadside_cooldown","pd_count","pd_damage","pd_interval","pd_range","pd_turn","pd_active","pd_reload","fighter_count","fighter_damage","fighter_interval","fighter_range","fighter_speed","fighter_burst","fighter_rest","fighter_turn","control_range","bomber_count","torpedo_damage","bomber_ammo","torpedo_interval","torpedo_speed","torpedo_range","launch_range","bomber_rearm","bomber_speed","bomber_accel","strike_range","missile_damage","missile_mag","missile_refire","missile_reload","missile_range","missile_speed","missile_turn","deploy_damage","deploy_interval","deploy_range","deploy_hull","deploy_max","deploy_cooldown","collect_range","bubble_pool","bubble_radius","bubble_time","bubble_cooldown","overdrive_mult","overdrive_time","overdrive_cooldown","wave_range","wave_push","wave_disable","wave_cooldown","rail_damage","rail_charge","rail_range","rail_width","rail_cooldown","rush_mult","rush_time","rush_guard","emp_damage","emp_range","emp_stun","rush_cooldown","hunter_count","hunter_damage","hunter_speed","hunter_turn","hunter_range","hunter_cooldown","roll_time","boost_time","boost_speed","boost_rof","roll_cooldown","echo_time","echo_radius","echo_share","echo_cooldown","stealth_time","stealth_speed","stealth_rof","stealth_cooldown"
"BATTLESHIP","guns firemode broadside pd","3","51.12","Main guns 35.80; Broadside, averaged over its cycle 14.32; Point defence 1.00","300","1","56","24","104","36","107","1.08","0.35","4","4","17.9","2","1000","1.571","650","3","1","0.5","0.25","14","2","0.5","0.5","460","2.094","15","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARRIER","attack recall bombers pd","3","59.36","Fighters, averaged over their rest 17.86; Bomber torpedoes, averaged over the run and the rearm 40.00; Point defence 1.50","200","1","58.24","24.267","116.48","38.827","127","0.9","0.35","4","","","","","","","","","","","","3","0.5","0.5","460","5.236","15","15","3","2.5","0.35","300","352","15","3","3.5","1500","2","137.5","4","0.5","300","2600","1900","6","190","500","3000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DESTROYER","guns firemode missile reload pd","3","61.00","Main guns 15.00; Missiles, averaged over a reload 45.00; Point defence 1.00","250","1","70","30","130","45","107","1.08","0.35","4","2","7.5","1","720","1.571","520","","","","","","2","0.5","0.5","460","2.094","15","15","","","","","","","","","","","","","","","","","","","","","49","3","0.4","9","900","200","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FREIGHTER","guns firemode bubble deploy collect pd","1","49.00","Main guns 12.00; Deployed turrets, all of them out 36.00; Point defence 1.00","400","1","45","20","85","30","150","0.85","0.35","4","1","12","1","800","1.571","560","","","","","","2","0.5","0.5","460","2.094","15","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","0.5","500","120","3","6","120","400","260","8","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TENDER","guns firemode overdrive deploy collect pd","1","49.00","Main guns 12.00; Deployed turrets, all of them out 36.00; Point defence 1.00","400","1","45","20","85","30","150","0.85","0.35","4","1","12","1","800","1.571","560","","","","","","2","0.5","0.5","460","2.094","15","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","0.5","500","120","3","6","120","","","","","2","8","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASTION","guns firemode shockwave deploy collect pd","1","49.00","Main guns 12.00; Deployed turrets, all of them out 36.00; Point defence 1.00","400","1","45","20","85","30","150","0.85","0.35","4","1","12","1","800","1.571","560","","","","","","2","0.5","0.5","460","2.094","15","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","0.5","500","120","3","6","120","","","","","","","","1000","1000","3","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SNIPER","guns firemode railgun","1","45.00","Main guns 7.50; Railgun, averaged over its charge and cooldown 37.50","140","1","130","60","190","70","55","2.2","0.35","4","1","6","0.8","900","1.571","700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","3","2500","14","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WARRIOR","guns firemode rush","1","29.05","Main guns 25.71; Rush EMP, averaged over its cooldown 3.33","140","1","130","60","190","70","55","2.2","0.35","4","2","9","0.7","600","1.571","520","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","2.5","0.5","60","260","2","18","","","","","","","","","","","","","","","","","","",""
"WARDEN","guns firemode hunters","1","49.29","Main guns 20.00; Hunter-seekers, averaged over their cooldown 19.29; Point defence 10.00","140","1","130","60","190","70","55","2.2","0.35","4","1","12","0.6","700","1.571","600","","","","","","1","5","0.5","420","2.094","15","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","45","260","2.5","1200","14","","","","","","","","","","","","",""
"DART","guns firemode roll","1","14.29","Main guns 14.29","90","1","190","90","260","95","35","3","0.35","4","1","5","0.35","500","1.571","620","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","4","1.6","1.25","12","","","","","","","",""
"ECHO","guns firemode echo","1","19.05","Main guns 14.29; Echo, averaged over its cooldown 4.76","90","1","190","90","260","95","35","3","0.35","4","1","5","0.35","500","1.571","620","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","220","1","15","","","",""
"WRAITH","guns firemode stealth","1","14.29","Main guns 14.29","90","1","190","90","260","95","35","3","0.35","4","1","5","0.35","500","1.571","620","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","1","1","20"
